feature,mean_importance
text_make,-0.015205883082082549
text_care,-0.013040647570178702
text_modikavaccinejumla,-0.012700358735258052
text_lives,-0.008735093952388282
text_resignpmmodi,-0.006459658499069504
text_bengalviolence,-0.006452497341614169
text_nation,-0.00578626454199512
text_indian,-0.005616921583979495
text_getting,-0.00515687241678058
text_bengal,-0.00494506989308427
text_don,-0.004818198710761548
text_dying,-0.004291288500764903
text_covid19,-0.004099103344630895
text_just,-0.0033993744211812367
text_resign_pm_modi,-0.003387011594252631
text_life,-0.002598979622327391
text_hell,-0.0025380647841290044
text_narendramodi,-0.0023510658740059504
text_bjp,-0.002299307745402446
text_ðÿ,-0.001971456322954898
text_son,-0.001915342709603507
text_need,-0.0017141697745474249
text_govt,-0.0012582472555574182
text_bengalburning,-0.0007722511375334834
text_people,-0.0007496893610786703
text_thing,-0.0007093910518165602
text_https,-0.0004436368536421431
text_news,-0.00043382405019744275
text_covid,-0.00031554560942197716
text_doing,-0.0002635034980007084
text_man,-0.0002326785851101215
text_let,-0.00015646496839573641
text_resign,-0.000124270182928099
_id_60c5d6bf5659ea5e55defe9d,0.0
_id_60c5d6bf5659ea5e55defea0,0.0
_id_60c5d6bf5659ea5e55defe9c,0.0
_id_60c5d6bf5659ea5e55defe9a,0.0
_id_60c5d6bf5659ea5e55defe98,0.0
_id_60c5d6bf5659ea5e55defe97,0.0
_id_60c5d6bf5659ea5e55defe96,0.0
_id_60c5d6bf5659ea5e55defe8e,0.0
_id_60c5d6bf5659ea5e55defe93,0.0
_id_60c5d6bf5659ea5e55defe92,0.0
_id_60c5d6bf5659ea5e55defe91,0.0
_id_60c5d6bf5659ea5e55defe8f,0.0
_id_60c5d6bf5659ea5e55defe8d,0.0
_id_60c5d6bf5659ea5e55defea1,0.0
_id_60c5d6bf5659ea5e55defe94,0.0
_id_60c5d6bf5659ea5e55defea2,0.0
_id_60c5d6bf5659ea5e55defec0,0.0
_id_60c5d6bf5659ea5e55defea5,0.0
_id_60c5d6bf5659ea5e55defe8a,0.0
_id_60c5d6bf5659ea5e55defebd,0.0
_id_60c5d6bf5659ea5e55defebc,0.0
_id_60c5d6bf5659ea5e55defeb9,0.0
_id_60c5d6bf5659ea5e55defeb8,0.0
_id_60c5d6bf5659ea5e55defeb5,0.0
_id_60c5d6bf5659ea5e55defea4,0.0
_id_60c5d6bf5659ea5e55defeb2,0.0
_id_60c5d6bf5659ea5e55defeaf,0.0
_id_60c5d6bf5659ea5e55defeac,0.0
_id_60c5d6bf5659ea5e55defeab,0.0
_id_60c5d6bf5659ea5e55defea9,0.0
_id_60c5d6bf5659ea5e55defea8,0.0
_id_60c5d6bf5659ea5e55defea7,0.0
_id_60c5d6bf5659ea5e55defeb1,0.0
_id_60c5d6bf5659ea5e55defe89,0.0
_id_60c5d6bf5659ea5e55defebf,0.0
_id_60c5d6bf5659ea5e55defe85,0.0
_id_60c5d6bf5659ea5e55defe49,0.0
_id_60c5d6bf5659ea5e55defe46,0.0
_id_60c5d6bf5659ea5e55defe44,0.0
_id_60c5d6bf5659ea5e55def0f2,0.0
_id_60c5d6bf5659ea5e55defe42,0.0
_id_60c5d6bf5659ea5e55defe40,0.0
_id_60c5d6bf5659ea5e55defdba,0.0
_id_60c5d6bf5659ea5e55defe3e,0.0
_id_60c5d6bf5659ea5e55defe3d,0.0
_id_60c5d6bf5659ea5e55defe3c,0.0
_id_60c5d6bf5659ea5e55defe3a,0.0
_id_60c5d6bf5659ea5e55defe88,0.0
_id_60c5d6bf5659ea5e55defe39,0.0
_id_60c5d6bf5659ea5e55defe38,0.0
_id_60c5d6bf5659ea5e55defe4b,0.0
_id_60c5d6bf5659ea5e55defdb6,0.0
_id_60c5d6bf5659ea5e55defe34,0.0
_id_60c5d6bf5659ea5e55defe32,0.0
_id_60c5d6bf5659ea5e55defe30,0.0
_id_60c5d6bf5659ea5e55defe2f,0.0
_id_60c5d6bf5659ea5e55defe2e,0.0
_id_60c5d6bf5659ea5e55defdb8,0.0
_id_60c5d6bf5659ea5e55defe2d,0.0
_id_60c5d6bf5659ea5e55defe29,0.0
_id_60c5d6bf5659ea5e55defdb9,0.0
_id_60c5d6bf5659ea5e55defdc4,0.0
_id_60c5d6bf5659ea5e55defdc3,0.0
_id_60c5d6bf5659ea5e55defdbe,0.0
_id_60c5d6bf5659ea5e55defdbd,0.0
_id_60c5d6bf5659ea5e55defdbc,0.0
_id_60c5d6bf5659ea5e55defe35,0.0
_id_60c5d6bf5659ea5e55defe4c,0.0
_id_60c5d6bf5659ea5e55defe3f,0.0
_id_60c5d6bf5659ea5e55defe78,0.0
_id_60c5d6bf5659ea5e55defe68,0.0
_id_60c5d6bf5659ea5e55defe69,0.0
_id_60c5d6bf5659ea5e55defe62,0.0
_id_60c5d6bf5659ea5e55defe5f,0.0
_id_60c5d6bf5659ea5e55defe6a,0.0
_id_60c5d6bf5659ea5e55defe6e,0.0
_id_60c5d6bf5659ea5e55defe70,0.0
_id_60c5d6bf5659ea5e55defe5e,0.0
_id_60c5d6bf5659ea5e55defe5d,0.0
_id_60c5d6bf5659ea5e55defe5b,0.0
_id_60c5d6bf5659ea5e55defe71,0.0
_id_60c5d6bf5659ea5e55defe73,0.0
_id_60c5d6bf5659ea5e55defe64,0.0
_id_60c5d6bf5659ea5e55defe7a,0.0
_id_60c5d6bf5659ea5e55defe5a,0.0
_id_60c5d6bf5659ea5e55defe67,0.0
_id_60c5d6bf5659ea5e55defe7c,0.0
_id_60c5d6bf5659ea5e55defe84,0.0
_id_60c5d6bf5659ea5e55defe4e,0.0
_id_60c5d6bf5659ea5e55defe4f,0.0
_id_60c5d6bf5659ea5e55defe50,0.0
_id_60c5d6bf5659ea5e55defe83,0.0
_id_60c5d6bf5659ea5e55defe51,0.0
_id_60c5d6bf5659ea5e55defe56,0.0
_id_60c5d6bf5659ea5e55defe82,0.0
_id_60c5d6bf5659ea5e55defe7f,0.0
_id_60c5d6bf5659ea5e55defe55,0.0
_id_60c5d6bf5659ea5e55defe7e,0.0
_id_60c5d6bf5659ea5e55defe7d,0.0
_id_60c5d6bf5659ea5e55defe54,0.0
text_india,3.9789917339030924e-05
text_look,8.964308498012052e-05
text_like,9.934048950246133e-05
text_got,0.0001179120537020878
text_china,0.00023291989252716694
text_sad,0.0002485656465842867
text_stop,0.0002502643443401592
text_vaccine,0.0002523945534222222
text_state,0.00026777301564537005
text_think,0.00029267510337353255
text_day,0.0003355198756389205
text_did,0.00041618280132805775
text_know,0.0004304342307673098
text_wuhanvirus,0.0009591260435272475
text_save,0.0012539411649199223
text_shitbag,0.0012597714760421263
text_bjp4india,0.0012998254364183308
text_world,0.0014386360967734908
text_really,0.0017116439792580706
text_deaths,0.001729125639306542
text_head,0.0018529659613583688
text_shit,0.001859789067023937
text_pm,0.0019013969851509882
text_piss,0.00228075097665712
text_shameless,0.0023537859249513904
text_bitch,0.002402595891146933
text_twat,0.002441602670193041
text_failed,0.002487192120156023
text_come,0.0027158436209776342
text_country,0.002729202132166128
text_fucking,0.0027437376821062955
text_say,0.002813675444012878
text_pussy,0.0028195131844512113
text_modi,0.002867976674949263
text_party,0.0028734337180250508
text_islamophobia,0.0031098893312966557
text_resignmodi,0.0031233488374196733
text_way,0.0032735851302039404
text_pandemic,0.0033706308575762872
text_asshole,0.003593751748789051
text_amp,0.003648113114536028
text_today,0.0037995138468267325
text_media,0.0038144344673668507
text_dick,0.003984694581702505
text_situation,0.003985662526951031
text_bollocks,0.004218102640993968
text_going,0.004359963867757058
text_lost,0.0045217886714561785
text_bloody,0.0045249793312496815
text_ve,0.004542048130992238
text_want,0.004773591239251976
text_shame,0.005194259642429838
text_fuck,0.005799083181480888
text_covidvaccine,0.006703371728240726
text_indiacovidcrisis,0.0073212992348591355
text_oxygen,0.007440811358307109
text_chinesevirus,0.0074836410452999245
text_time,0.008179408185000518
text_government,0.00821949547169725
text_pmoindia,0.008585202818094051
text_good,0.008701468407756712
Unnamed: 0,0.009530468786968097
text_fucker,0.00980294543045796
text_damn,0.00983504586293174
text_help,0.010343246162535846
text_motherfucker,0.010842488301516125
text_right,0.013552733498277889
text_modiresign,0.015288651891541988
task_2,6.356508534539369
