feature,mean_importance
Unnamed: 0,0.0
text_failed,0.0
text_fuck,0.0
text_fucker,0.0
text_fucking,0.0
text_getting,0.0
text_going,0.0
text_good,0.0
text_got,0.0
text_government,0.0
text_govt,0.0
text_head,0.0
text_hell,0.0
text_help,0.0
text_https,0.0
text_india,0.0
text_indiacovidcrisis,0.0
text_indian,0.0
text_islamophobia,0.0
text_just,0.0
text_know,0.0
text_let,0.0
text_dying,0.0
text_life,0.0
text_don,0.0
text_did,0.0
text_asshole,0.0
text_bengal,0.0
text_bengalburning,0.0
text_bengalviolence,0.0
text_bitch,0.0
text_bjp,0.0
text_bjp4india,0.0
text_bloody,0.0
text_bollocks,0.0
text_care,0.0
text_china,0.0
text_chinesevirus,0.0
text_come,0.0
text_country,0.0
text_covid,0.0
text_covid19,0.0
text_covidvaccine,0.0
text_damn,0.0
text_day,0.0
text_deaths,0.0
text_dick,0.0
text_doing,0.0
text_like,0.0
text_lives,0.0
text_look,0.0
text_sad,0.0
text_save,0.0
text_say,0.0
text_shame,0.0
text_shameless,0.0
text_shit,0.0
text_shitbag,0.0
text_situation,0.0
text_son,0.0
text_state,0.0
text_stop,0.0
text_thing,0.0
text_think,0.0
text_time,0.0
text_today,0.0
text_twat,0.0
text_vaccine,0.0
text_ve,0.0
text_want,0.0
text_way,0.0
text_world,0.0
text_right,0.0
text_resignpmmodi,0.0
text_resignmodi,0.0
text_resign_pm_modi,0.0
text_lost,0.0
text_make,0.0
text_man,0.0
text_media,0.0
text_modi,0.0
text_modikavaccinejumla,0.0
text_modiresign,0.0
text_motherfucker,0.0
text_narendramodi,0.0
text_nation,0.0
text_amp,0.0
text_need,0.0
text_oxygen,0.0
text_pandemic,0.0
text_party,0.0
text_people,0.0
text_piss,0.0
text_pm,0.0
text_pmoindia,0.0
text_pussy,0.0
text_really,0.0
text_resign,0.0
text_news,0.0
_id_60c5d6bf5659ea5e55defec0,0.0
_id_60c5d6bf5659ea5e55defebf,0.0
_id_60c5d6bf5659ea5e55defebd,0.0
_id_60c5d6bf5659ea5e55defe40,0.0
_id_60c5d6bf5659ea5e55defe42,0.0
_id_60c5d6bf5659ea5e55defe44,0.0
_id_60c5d6bf5659ea5e55defe46,0.0
_id_60c5d6bf5659ea5e55defe49,0.0
_id_60c5d6bf5659ea5e55defe4b,0.0
_id_60c5d6bf5659ea5e55defe4c,0.0
_id_60c5d6bf5659ea5e55defe4e,0.0
_id_60c5d6bf5659ea5e55defe4f,0.0
_id_60c5d6bf5659ea5e55defe50,0.0
_id_60c5d6bf5659ea5e55defe51,0.0
_id_60c5d6bf5659ea5e55defe54,0.0
_id_60c5d6bf5659ea5e55defe55,0.0
_id_60c5d6bf5659ea5e55defe56,0.0
_id_60c5d6bf5659ea5e55defe5a,0.0
_id_60c5d6bf5659ea5e55defe5b,0.0
_id_60c5d6bf5659ea5e55defe5d,0.0
_id_60c5d6bf5659ea5e55defe5e,0.0
_id_60c5d6bf5659ea5e55defe5f,0.0
_id_60c5d6bf5659ea5e55defe62,0.0
_id_60c5d6bf5659ea5e55defe64,0.0
_id_60c5d6bf5659ea5e55defe3f,0.0
_id_60c5d6bf5659ea5e55defe67,0.0
_id_60c5d6bf5659ea5e55defe3e,0.0
_id_60c5d6bf5659ea5e55defe3c,0.0
_id_60c5d6bf5659ea5e55def0f2,0.0
_id_60c5d6bf5659ea5e55defdb6,0.0
